row_id,timestamp,close,return,anomaly_zscore,anomaly_kmeans,anomaly_rf,anomaly_gmm,votes,final_label
521,2026-01-08T22:00:00.000Z,91231.9,-0.04498594107171794,0,0,0,0,0,Normal
522,2026-01-08T23:00:00.000Z,91099.99,-0.14458758394814142,0,0,0,0,0,Normal
523,2026-01-09T00:00:00.000Z,91290.33,0.20893525893910248,0,0,0,0,0,Normal
524,2026-01-09T01:00:00.000Z,91056.19,-0.25647842438514257,0,0,0,0,0,Normal
525,2026-01-09T02:00:00.000Z,91038.38,-0.019559351209397224,0,0,0,0,0,Normal
526,2026-01-09T03:00:00.000Z,91220.23,0.1997509182390944,0,0,0,0,0,Normal
527,2026-01-09T04:00:00.000Z,91012.8,-0.22739473469864935,0,0,0,0,0,Normal
528,2026-01-09T05:00:00.000Z,91091.82,0.08682295237594229,0,0,0,0,0,Normal
529,2026-01-09T06:00:00.000Z,91137.58,0.05023502659184942,0,0,0,0,0,Normal
530,2026-01-09T07:00:00.000Z,90741.84,-0.4342226335173782,0,0,0,0,0,Normal
531,2026-01-09T08:00:00.000Z,90033.52,-0.7805880947531985,0,0,0,0,0,Normal
532,2026-01-09T09:00:00.000Z,90338.46,0.33869607675007796,0,0,0,0,0,Normal
533,2026-01-09T10:00:00.000Z,90485.87,0.1631752411984655,0,0,0,0,0,Normal
534,2026-01-09T11:00:00.000Z,90463.11,-0.02515309848929448,0,0,0,0,0,Normal
535,2026-01-09T12:00:00.000Z,90449.23,-0.015343270864776049,0,0,0,0,0,Normal
536,2026-01-09T13:00:00.000Z,90607.66,0.17515903673255284,0,0,0,0,0,Normal
537,2026-01-09T14:00:00.000Z,90150.0,-0.505100782869794,0,0,0,1,1,Normal
538,2026-01-09T15:00:00.000Z,91176.47,1.138624514697728,1,1,1,0,3,ANOMALY
539,2026-01-09T16:00:00.000Z,91623.89,0.490718712843341,0,0,0,0,0,Normal
540,2026-01-09T17:00:00.000Z,91422.23,-0.2200954358082874,0,0,0,0,0,Normal
541,2026-01-09T18:00:00.000Z,90820.31,-0.6583956659118928,0,0,0,1,1,Normal
542,2026-01-09T19:00:00.000Z,90332.15,-0.5375009180215384,0,0,0,0,0,Normal
543,2026-01-09T20:00:00.000Z,90303.36,-0.031871266210303784,0,0,0,0,0,Normal
544,2026-01-09T21:00:00.000Z,90541.97,0.26423158562427496,0,0,0,0,0,Normal
545,2026-01-09T22:00:00.000Z,90630.08,0.09731398598904484,0,0,0,0,0,Normal
546,2026-01-09T23:00:00.000Z,90641.28,0.012357927963879689,0,0,0,0,0,Normal
547,2026-01-10T00:00:00.000Z,90600.0,-0.045542163570500005,0,0,0,0,0,Normal
548,2026-01-10T01:00:00.000Z,90688.0,0.0971302428256049,0,0,0,0,0,Normal
549,2026-01-10T02:00:00.000Z,90697.17,0.010111591390260521,0,0,0,0,0,Normal
550,2026-01-10T03:00:00.000Z,90626.14,-0.07831556376014515,0,0,0,0,0,Normal
551,2026-01-10T04:00:00.000Z,90448.3,-0.19623477288119862,0,0,0,0,0,Normal
552,2026-01-10T05:00:00.000Z,90603.52,0.17161184897891424,0,0,0,0,0,Normal
553,2026-01-10T06:00:00.000Z,90505.47,-0.1082187535318746,0,0,0,0,0,Normal
554,2026-01-10T07:00:00.000Z,90678.5,0.19118181475661356,0,0,0,0,0,Normal
555,2026-01-10T08:00:00.000Z,90661.95,-0.018251294408266894,0,0,0,0,0,Normal
556,2026-01-10T09:00:00.000Z,90768.96,0.11803187555530226,0,0,0,0,0,Normal
557,2026-01-10T10:00:00.000Z,90828.0,0.0650442618269409,0,0,0,0,0,Normal
558,2026-01-10T11:00:00.000Z,90723.86,-0.11465627339586337,0,0,0,0,0,Normal
559,2026-01-10T12:00:00.000Z,90733.71,0.010857121820007087,0,0,0,0,0,Normal
560,2026-01-10T13:00:00.000Z,90656.51,-0.08508414347877524,0,0,0,0,0,Normal
561,2026-01-10T14:00:00.000Z,90591.01,-0.0722507407355577,0,0,0,0,0,Normal
562,2026-01-10T15:00:00.000Z,90665.75,0.0825026677591989,0,0,0,0,0,Normal
563,2026-01-10T16:00:00.000Z,90676.66,0.012033209894579677,0,0,0,0,0,Normal
564,2026-01-10T17:00:00.000Z,90544.96,-0.14524134435476288,0,0,0,0,0,Normal
565,2026-01-10T18:00:00.000Z,90595.62,0.05595010478771645,0,0,0,0,0,Normal
566,2026-01-10T19:00:00.000Z,90626.54,0.03412968529825644,0,0,0,0,0,Normal
567,2026-01-10T20:00:00.000Z,90572.86,-0.05923209691112152,0,0,0,0,0,Normal
568,2026-01-10T21:00:00.000Z,90510.74,-0.06858566683219935,0,0,0,0,0,Normal
